type,id,project_added
node,2625977,add san mateo bridge toll plaza
link,3443532,add san mateo bridge toll plaza
link,3443533,add san mateo bridge toll plaza
node,5030001,add golden gate bridge toll plaza
link,8084884,add golden gate bridge toll plaza
link,8084885,add golden gate bridge toll plaza
link,133493,move street rail to street connector links
link,133494,move street rail to street connector links
link,133495,move street rail to street connector links
link,133496,move street rail to street connector links
link,133497,move street rail to street connector links
link,133498,move street rail to street connector links
link,133499,move street rail to street connector links
link,133500,move street rail to street connector links
link,133501,move street rail to street connector links
link,133502,move street rail to street connector links
link,133503,move street rail to street connector links
link,133504,move street rail to street connector links
link,133505,move street rail to street connector links
link,133506,move street rail to street connector links
link,133507,move street rail to street connector links
link,133508,move street rail to street connector links
link,133509,move street rail to street connector links
link,133510,move street rail to street connector links
link,3443534,sf bay ferry missing link
link,3443535,sf bay ferry missing link
link,3443536,sf bay ferry missing link
link,3443537,sf bay ferry missing link
link,5157454,sf bay ferry vallejo missing link
link,5157455,sf bay ferry vallejo missing link
link,133511,sf bay ferry vallejo missing link
link,5157456,sf bay ferry vallejo missing link
